Ti_at,Nb_at_,Hf_at_,Zr_at_,Al_at_,Ta_at_,Mo_at_,W_at_,V_at_,Cr_at_,Si_at_,Processing_Temperature_C_,Treatment_Temperature_C_,Treatment_Time_h_,Average_atomic_radius_pm_,Atomic_radius_difference_pm_,Valence_Electron_Concentration,Enthalpy_of_Mixing_J_mol_,Mixing_Entropy_J_K_mol_,Hardness_HV_
0.2,0.2,0,0.2,0,0,0,0,0.4,0,0,1200,1200,24,143,6.8,4.6,-1.1,11,305
0.4,0.1,0.1,0.3,0,0.1,0,0,0,0,0,0,0,0,151,4,4.3,1.9,12,308
0.2,0.3,0,0,0,0.3,0,0,0.2,0,0,0,0,0,142,4.2,4.7,-0.1,11,317
0.3,0.3,0,0.2,0,0,0,0,0.2,0,0,1200,1200,24,145,6.2,4.5,0.1,12,335
0,0.3,0.3,0.3,0,0.3,0,0,0,0,0,0,0,0,152,4.6,4.5,3.5,12,363
0.2,0.2,0.2,0.2,0,0,0,0,0.2,0,0,0,0,0,148,6.8,4.4,0.2,13,387
0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,1200,0,0,151,4.3,4.4,2.7,13,391
0.3,0.3,0,0.1,0.2,0.1,0,0,0,0,0,1400,1400,24,146,3.1,4.2,-16,12,408
0.2,0.3,0,0,0,0,0.3,0,0.2,0,0,0,0,0,140,4.1,5,-2.8,12,408
0.1,0.3,0,0,0,0,0.3,0,0.3,0,0,0,0,0,138,3.8,5.2,-3.1,11,408
0.2,0.3,0,0.3,0,0,0,0,0,0.3,0,1200,1200,24,143,8.2,4.8,-4.8,12,418
0.2,0.2,0,0,0,0.3,0,0.2,0.2,0,0,0,0,0,142,4,5,-3.5,13,447
0.3,0.2,0,0,0.3,0,0,0,0.3,0,0,0,1200,24,141,3.9,4.2,-17,12,448
0.2,0.2,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,146,8.4,4.6,-4,13,464
